"","Mic1","Mic2","Mic3","Mic4","Mic5","Mic6","Mic7","Mic8","Mic9","Mic10","Mic11","Mic12"
"2",0.0103802921857198,0.00969569841443279,0.00532817363603963,0.0119590010425642,0.00689569621176139,0.00567567229122685,0.00703968496585972,0.00680231370549873,0.00495887298291339,0.00798848794773175,0.00601414750440716,0.00565696027335311
"4",0.00272252506140914,0.00453512810737857,0.00503434082344238,0.0083260625231246,0.00704604929156714,0.00820740449887653,0.0106219339340878,0.00854501829479413,0.00767036777495735,0.0128762737258571,0.00908870223788736,0.00962268578456286
"6",0.018070404649731,0.0130487535972317,0.00813007029773245,0.0183998124353668,0.0114014628995218,0.0106890166623993,0.014681536680536,0.0119777994198447,0.0100802369976409,0.0157857366992179,0.0119078728146875,0.0126441576985209
"8",0.00878977519243321,0.0120070883205027,0.00851213459266727,0.0154593500483662,0.0113523408081016,0.0105580552260584,0.0140978498414675,0.0123701704974736,0.01018804349843,0.0159650053576815,0.0137050349939378,0.0110371060909733
"10",0.00569373970869012,0.0280028128816599,0.00939344464353274,0.0123014158959786,0.0173863699048511,0.0107044083801431,0.0133895539042227,0.0130274078847674,0.0107790165959308,0.0138866185876952,0.0116584324765638,0.0116003977993415
"12",0.00534336496960468,0.0337568371522649,0.0101921705894906,0.0128751076348295,0.0150198145962144,0.0118491315942944,0.0132042931454495,0.0117940875874063,0.00994241090038353,0.0145826781133583,0.0108859167164714,0.0103950370064487
"14",0.00404478337440239,0.0208932279526588,0.0107989192442045,0.0108187802501377,0.013308978596231,0.0124471616790724,0.011754912869475,0.0116009853329688,0.0103325246704778,0.0146331402631844,0.0113250716311704,0.0117321432866055
"16",0.00368971755308305,0.009848400830513,0.0298123749032815,0.0100824357551975,0.0107553318234828,0.0180096264018027,0.0116352700036379,0.0121865576808235,0.0120922966587277,0.0127552679895044,0.0129439813067128,0.0120110349820017
"18",0.00336556578299317,0.00823466200627234,0.0298873880281969,0.00985486228318782,0.0105097196198707,0.0263613317565257,0.0111853747601371,0.0118925757403088,0.0120523953632388,0.0132348308409459,0.0115404537961806,0.0118821762452521
"20",0.00372808802520123,0.00880005338004631,0.0150148929107413,0.0100492260589987,0.0109252214864767,0.0323866037770316,0.0118381749270439,0.0115715500544344,0.0128021457048357,0.0142973981816371,0.0112842561712931,0.0118078185189066
"22",0.00393272515353757,0.0106904153748655,0.0125475493465363,0.0112536175909636,0.015834140798178,0.0133007270575244,0.0139396416406119,0.0121548925585984,0.0110348549425826,0.0157024178255496,0.0111530889270591,0.0119445956768002
"24",0.00467756851525401,0.0151083537683329,0.0111457619846615,0.0134033253335216,0.0402801437482468,0.012572862394307,0.0131199685805515,0.0151375637961742,0.010289854809972,0.0150299758131961,0.0110471606023118,0.0113638429252148
"26",0.00586455787513318,0.0133553248444259,0.00861221257181147,0.0153480008126223,0.0153153648252727,0.0101196772151687,0.0130030028745195,0.012722537691715,0.00975146224137575,0.013770861902992,0.0110431756518009,0.00985505903944176
"28",0.00854002921882565,0.0086874119385936,0.00760361299311365,0.0376662169582732,0.0108329405995897,0.00961441541692275,0.0154784765210543,0.0113841884138977,0.00955276833022352,0.0161008739535909,0.0127270502791848,0.0110607762051614
"30",0.00492104873870152,0.00812474069987252,0.00734367518067946,0.0167093173390753,0.0099743747959675,0.009946047835656,0.0339873943680295,0.0127408717362471,0.0101369223010946,0.0179937917167221,0.0121383467523862,0.0104333527973015
"32",0.0045117455671378,0.0091756267968757,0.00743242871155801,0.0128277344580203,0.0102192255741155,0.0105824497004683,0.0166286107626216,0.0152580440542361,0.00982091705157234,0.0172645166712777,0.0133173950043159,0.010867328618539
"34",0.0043783690189561,0.00804081978705849,0.00919750790457749,0.011521825258613,0.0123820346579486,0.0106276060523672,0.0130101432771817,0.0249031376903698,0.0113349313334212,0.0194022839723304,0.0168801680004276,0.0122473361314031
"36",0.00396500910000902,0.00804041817707403,0.0100927809872044,0.0122090562803767,0.0132469710276874,0.0117972676142154,0.0130119240486653,0.0266239727063736,0.0140914327243083,0.0153321451275216,0.01792056473442,0.0149875330258689
"38",0.00376243922174343,0.00810141537425448,0.00938714699005994,0.0102423528673987,0.0109531833283505,0.0125710386793501,0.0114614555868008,0.0128695160905774,0.0239864086716543,0.0162888992458471,0.013284397854849,0.0164851390743673
"40",0.00366356587852355,0.00796067009152019,0.009342500987876,0.0105296885777495,0.0113728479722634,0.0132774862812414,0.0117155434088403,0.0123689444401094,0.0314537233430606,0.0158206910923115,0.0132384391232575,0.0232272353465683
"42",0.00370905263464004,0.00767101569484387,0.00920361130878743,0.0111837303988144,0.010490242096141,0.0119530557608221,0.0118272656228018,0.0125388465496503,0.0148859407108335,0.0123431388991795,0.0136950924355844,0.0387956529391792
"44",0.00370759523967971,0.00782197060836135,0.0089903098612444,0.0112004179136234,0.0107235316163217,0.0116811096593918,0.0116398450783412,0.0134729279448184,0.0139154717089377,0.0159298416600027,0.0161856054036563,0.0206174751010792
"46",0.00388284277931362,0.00774162871938365,0.00863090964540772,0.0119871915642325,0.0110620537521702,0.0103561725847617,0.0124767982413826,0.0182280714910795,0.0105602426468742,0.0155507961725154,0.0467230583611961,0.014659562538442
"48",0.00446763546635891,0.00787105256853588,0.00912585740052641,0.0123506154998954,0.0124724407623508,0.0111172080258199,0.0133912595211816,0.0146890902139917,0.0107916487991756,0.0202861542311733,0.0193431175927471,0.0137024643989006
"50",0.00471179008444505,0.00783711458400658,0.00768758214120013,0.0140446682132009,0.00990151512734005,0.0112040350948598,0.017001149401774,0.0117449656414982,0.0101570521140592,0.0361602842466702,0.0126573357356195,0.0120999526389917
"52",0.00276983765466812,0.00464380183023587,0.00552381968696985,0.0095006408943008,0.00779155626218942,0.00815709978388712,0.0120546158049223,0.00930196269635333,0.00838355523170534,0.0129242601825505,0.0101817660645248,0.00876371068764804
"54",0.00551246859985362,0.00813481341182174,0.00728886103561414,0.014420484745399,0.00980051141686927,0.00878384758041706,0.0168724600956589,0.01302669297615,0.00913284961426565,0.021396061219041,0.0117152067016617,0.0101242005855516
"56",0.00542875079616657,0.00998275168315805,0.00776671856159353,0.0127586235758133,0.00921843795850819,0.0074640325299386,0.014224929679568,0.010659942763303,0.00683071658464792,0.0233126042175247,0.0115868639136719,0.00781726654362182
"58",0.000171370693575987,0.000265292224180568,0.000336468261989518,0.000593547134620649,0.000479557346741115,0.000503646657080326,0.000745217321366824,0.000619259756595465,0.000528290801435814,0.00100071271864375,0.000595279026162787,0.000575715413265797
"60",0.000387236583458558,0.000278644274800993,0.000237903112250483,0.000411870571010343,0.000302342173784084,0.000392317771911621,0.000381584168940345,0.000770577298670696,0.000318460259797911,0.000619354987203134,0.000276034148824504,0.000205326192444303
